"name","version","date","size"
"ggplot2","0.5.1",2007-06-10,1800
"ggplot2","0.5.2",2007-06-18,1800
"ggplot2","0.5.4",2007-07-08,1800
"ggplot2","0.5.5",2007-09-01,1800
"ggplot2","0.5.6",2007-10-20,1800
"ggplot2","0.5.7",2008-01-11,1800
"ggplot2","0.5",2007-06-01,7100
"ggplot2","0.6",2008-04-03,1900
"ggplot2","0.7",2008-10-05,1900
"ggplot2","0.8.1",2008-12-14,1900
"ggplot2","0.8.2",2009-02-25,2000
"ggplot2","0.8.3",2009-04-20,2000
"ggplot2","0.8.4",2009-12-09,2000
"ggplot2","0.8.5",2009-12-16,2000
"ggplot2","0.8.6",2010-02-18,2000
"ggplot2","0.8.7",2010-03-02,2000
"ggplot2","0.8.8",2010-07-05,2000
"ggplot2","0.8.9",2010-12-23,2000
"ggplot2","0.8",2008-11-21,1900
"ggplot2","0.9.0",2012-03-01,1600
"ggplot2","0.9.1",2012-05-08,9100
"ggplot2","0.9.2.1",2012-09-11,2200
"ggplot2","0.9.2",2012-09-04,2200
"ggplot2","0.9.3.1",2013-03-02,2200
"ggplot2","0.9.3",2012-12-05,2200
"ggplot2","1.0.0",2014-05-21,2200
"ggplot2","1.0.1",2015-03-17,2200
"ggplot2","2.0.0",2015-12-18,1500
"ggplot2","2.1.0",2016-03-01,1500
"ggplot2","2.2.0",2016-11-11,2100
"ggplot2","2.2.1",2016-12-30,2100
"ggplot2","3.0.0",2018-07-03,2700
"ggplot2","3.1.0",2018-10-25,2700
"ggplot2","3.1.1",2019-04-07,2700
"ggplot2","3.2.0",2019-06-16,3000
"ggplot2","3.2.1",2019-08-11,3100
"ggplot2","3.3.0",2020-03-05,2900
"ggplot2","3.3.1",2020-05-29,2900
"ggplot2","3.3.2",2020-06-19,2900
"ggplot2","3.3.3",2020-12-30,2900
"ggplot2","3.3.4",2021-06-16,2900
