"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",14,"D.J. Augustin","PG","5-11",183,"November 10, 1987","us","8","Texas"
"2",11,"Bismack Biyombo","C","6-8",255,"August 28, 1992","cd","5",""
"3",21,"Anthony Brown","SF","6-7",210,"October 10, 1992","us","1","Stanford"
"4",10,"Evan Fournier","SG","6-7",205,"October 29, 1992","fr","4",""
"5",29,"Patricio Garino","SG","6-6",210,"May 17, 1993","ar","R","George Washington"
"6",13,"Marcus Georges-Hunt","SG","6-5",216,"March 28, 1994","us","R","Georgia Tech"
"7",0,"Aaron Gordon","SF","6-8",235,"September 16, 1995","us","2","Arizona"
"8",34,"Jeff Green","PF","6-8",235,"August 28, 1986","us","8","Georgetown"
"9",8,"Mario Hezonja","SF","6-8",220,"February 25, 1995","hr","1",""
"10",7,"Serge Ibaka","PF","6-10",235,"September 18, 1989","cg","7",""
"11",20,"Jodie Meeks","SG","6-4",210,"August 21, 1987","us","7","Kentucky"
"12",21,"Arinze Onuaku","C","6-9",255,"July 13, 1987","us","2","Syracuse"
"13",4,"Elfrid Payton","PG","6-3",195,"February 22, 1994","us","2","Louisiana"
"14",31,"Terrence Ross","SF","6-6",206,"February 5, 1991","us","4","Washington"
"15",3,"Damjan Rudež","SF","6-10",228,"June 17, 1986","hr","2",""
"16",9,"Nikola Vučević","C","6-11",260,"October 24, 1990","ch","5","USC"
"17",32,"C.J. Watson","PG","6-2",175,"April 17, 1984","us","9","Tennessee"
"18",23,"C.J. Wilcox","SG","6-5",195,"December 30, 1990","us","2","Washington"
"19",33,"Stephen Zimmerman","C","7-0",240,"September 9, 1996","us","R","UNLV"
